2017-Dec-26 10:53:22.620410 INFO    [Blockchain] Failed to check ring signature for tx f5cb654d22194f1adf503681b07f29820ee397bcf6310ca428c7c3975de42151
2017-Dec-26 10:53:22.760810 INFO    [Blockchain] Wrong index in transaction inputs: 14631, expected maximum 14471
2017-Dec-26 10:53:22.776410 INFO    [Blockchain] Failed to get output keys for tx with amount = 80.00000000 and count indexes 3
2017-Dec-26 10:53:22.776410 INFO    [Blockchain] Failed to check ring signature for tx 8bdd7dd7da3766dd6e94ebac9c0d3ce631d58bce3b3493270fe2329b9d544933
2017-Dec-26 10:53:22.792010 INFO    [Blockchain] Wrong index in transaction inputs: 1767, expected maximum 1745
2017-Dec-26 10:53:22.792010 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000002 and count indexes 3
2017-Dec-26 10:53:22.792010 INFO    [Blockchain] Failed to check ring signature for tx 5484060a5323b02521492d4e33854acdc541ba34ed230e4a73f0c7db916f8092
2017-Dec-26 10:53:23.260011 INFO    [Blockchain] Wrong index in transaction inputs: 1930, expected maximum 1902
2017-Dec-26 10:53:23.275611 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000009 and count indexes 3
2017-Dec-26 10:53:23.275611 INFO    [Blockchain] Failed to check ring signature for tx b527d70fa49665d8723a4b3afd936570444805b73f1527dda0c883c6b9337653
2017-Dec-26 10:53:23.322411 INFO    [Blockchain] Wrong index in transaction inputs: 29, expected maximum 28
2017-Dec-26 10:53:23.322411 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000960 and count indexes 3
2017-Dec-26 10:53:23.338011 INFO    [Blockchain] Failed to check ring signature for tx 2b5e5d0d7e08ef79d9c3b265e9c0507850f687206e063c457a8fa971c83a9dd1
2017-Dec-26 10:53:23.338011 INFO    [Blockchain] Wrong index in transaction inputs: 28968, expected maximum 27314
2017-Dec-26 10:53:23.338011 INFO    [Blockchain] Failed to get output keys for tx with amount = 4.00000000 and count indexes 3
2017-Dec-26 10:53:23.353611 INFO    [Blockchain] Failed to check ring signature for tx d37b3fb895f73cf69d9eeb94a67cf3fa137cb5abb7ff3bb5c378bc9eb8e13b00
2017-Dec-26 10:53:23.353611 INFO    [Blockchain] Wrong index in transaction inputs: 32616, expected maximum 31369
2017-Dec-26 10:53:23.369211 INFO    [Blockchain] Failed to get output keys for tx with amount = 20.00000000 and count indexes 3
2017-Dec-26 10:53:23.369211 INFO    [Blockchain] Failed to check ring signature for tx 0359deb6ce93e759d0a3aa0ac2910491db500eb76bb5e1a44e851afe74aa90a1
2017-Dec-26 10:53:23.369211 INFO    [Blockchain] Wrong index in transaction inputs: 20748, expected maximum 19942
2017-Dec-26 10:53:23.384811 INFO    [Blockchain] Failed to get output keys for tx with amount = 8.00000000 and count indexes 3
2017-Dec-26 10:53:23.384811 INFO    [Blockchain] Failed to check ring signature for tx b4e6dc3ea7eb0da7390cc10c5e2b624a1427c1f145353b1b29b010c2735ec989
2017-Dec-26 10:53:23.400411 INFO    [Blockchain] Wrong index in transaction inputs: 28821, expected maximum 27314
2017-Dec-26 10:53:23.400411 INFO    [Blockchain] Failed to get output keys for tx with amount = 4.00000000 and count indexes 3
2017-Dec-26 10:53:23.400411 INFO    [Blockchain] Failed to check ring signature for tx e69f9d4d76f4e6b87523c9ccd2f1835efe9515ad42910b44ccb31928353ce950
2017-Dec-26 10:53:23.447211 INFO    [Blockchain] Wrong index in transaction inputs: 36935, expected maximum 35936
2017-Dec-26 10:53:23.447211 INFO    [Blockchain] Failed to get output keys for tx with amount = 100.00000000 and count indexes 3
2017-Dec-26 10:53:23.447211 INFO    [Blockchain] Failed to check ring signature for tx 32ffcef220ef2e55a880c876dff4d5916821df0191d28c9023b47f4f513992be
2017-Dec-26 10:53:23.462811 INFO    [Blockchain] Wrong index in transaction inputs: 5418, expected maximum 5378
2017-Dec-26 10:53:23.462811 INFO    [Blockchain] Failed to get output keys for tx with amount = 900.00000000 and count indexes 3
2017-Dec-26 10:53:23.478411 INFO    [Blockchain] Failed to check ring signature for tx 7e04c582594c688d64c690646aad81f3f52168524cd991b3f60c3f2d739195ce
2017-Dec-26 10:53:23.478411 INFO    [Blockchain] Wrong index in transaction inputs: 5380, expected maximum 5307
2017-Dec-26 10:53:23.478411 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00080000 and count indexes 3
2017-Dec-26 10:53:23.494011 INFO    [Blockchain] Failed to check ring signature for tx a0ea6c32cfa98d01aeb6978b8fc286bf461cdebbee891b97981b6f65f23b0e22
2017-Dec-26 10:53:23.494011 INFO    [Blockchain] Wrong index in transaction inputs: 38327, expected maximum 36458
2017-Dec-26 10:53:23.509611 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.06000000 and count indexes 3
2017-Dec-26 10:53:23.509611 INFO    [Blockchain] Failed to check ring signature for tx acc50d0d4bedbbc801d0e7075c044e7b29d305fddff38b653bbd1614e5d88bbf
2017-Dec-26 10:53:23.509611 INFO    [Blockchain] Wrong index in transaction inputs: 14645, expected maximum 14471
2017-Dec-26 10:53:23.525211 INFO    [Blockchain] Failed to get output keys for tx with amount = 80.00000000 and count indexes 3
2017-Dec-26 10:53:23.525211 INFO    [Blockchain] Failed to check ring signature for tx 1bae787f944f1a33c6cc050afd31d13b6a602a118493e891c72bad8c43cc31fe
2017-Dec-26 10:53:23.540811 INFO    [Blockchain] Wrong index in transaction inputs: 5926, expected maximum 5857
2017-Dec-26 10:53:23.540811 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00010000 and count indexes 3
2017-Dec-26 10:53:23.540811 INFO    [Blockchain] Failed to check ring signature for tx 6863b494ee37f0e2c73f9c75c035e5d4feab136558397695f64c46181711a662
2017-Dec-26 10:53:23.556411 INFO    [Blockchain] Wrong index in transaction inputs: 37152, expected maximum 36722
2017-Dec-26 10:53:23.556411 INFO    [Blockchain] Failed to get output keys for tx with amount = 1000.00000000 and count indexes 3
2017-Dec-26 10:53:23.572011 INFO    [Blockchain] Failed to check ring signature for tx deb0432caadf86851c3f170b8dc13f2099119f2065496c734d4ae5663f47fc96
2017-Dec-26 10:53:23.572011 INFO    [Blockchain] Wrong index in transaction inputs: 5358, expected maximum 5296
2017-Dec-26 10:53:23.572011 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00006000 and count indexes 3
2017-Dec-26 10:53:23.587611 INFO    [Blockchain] Failed to check ring signature for tx 41a797ef6ce521096ee69ae2f164b43f013a0386c0dddda8b76c84f3eae63f43
2017-Dec-26 10:53:23.618811 INFO    [Blockchain] Wrong index in transaction inputs: 16863, expected maximum 16631
2017-Dec-26 10:53:23.618811 INFO    [Blockchain] Failed to get output keys for tx with amount = 70.00000000 and count indexes 3
2017-Dec-26 10:53:23.618811 INFO    [Blockchain] Failed to check ring signature for tx 35c5d9f310871ae7865f65ace04a0d83378418a74af51012279d170cf1d3165f
2017-Dec-26 10:53:23.634411 INFO    [Blockchain] Wrong index in transaction inputs: 25584, expected maximum 25017
2017-Dec-26 10:53:23.634411 INFO    [Blockchain] Failed to get output keys for tx with amount = 30.00000000 and count indexes 3
2017-Dec-26 10:53:23.650011 INFO    [Blockchain] Failed to check ring signature for tx 8753e9e90f081bed0f7230bfe239fa21f8586e70aabdb4c384e903a3b38f47f5
2017-Dec-26 10:53:23.650011 INFO    [Blockchain] Wrong index in transaction inputs: 40055, expected maximum 38246
2017-Dec-26 10:53:23.650011 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.30000000 and count indexes 3
2017-Dec-26 10:53:23.665611 INFO    [Blockchain] Failed to check ring signature for tx 19bac5cc183721cef1e5dcb4a75607dab3f17d81594b49e3f70d84d8d549bae5
2017-Dec-26 10:53:23.665611 INFO    [Blockchain] Wrong index in transaction inputs: 29, expected maximum 28
2017-Dec-26 10:53:23.665611 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000093 and count indexes 3
2017-Dec-26 10:53:23.681211 INFO    [Blockchain] Failed to check ring signature for tx d8fa7b8a42c590812ef3595074e088564a1e3c08e0001ef10866c098ce535154
2017-Dec-26 10:53:23.681211 INFO    [Blockchain] Wrong index in transaction inputs: 38667, expected maximum 36747
2017-Dec-26 10:53:23.696811 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.03000000 and count indexes 3
2017-Dec-26 10:53:23.696811 INFO    [Blockchain] Failed to check ring signature for tx cac0ca89ec4376b7e37f3d8a00db530cc5745dc3a713ffb35bf3bd96b805c854
2017-Dec-26 10:53:23.712412 INFO    [Blockchain] Wrong index in transaction inputs: 37132, expected maximum 36722
2017-Dec-26 10:53:23.712412 INFO    [Blockchain] Failed to get output keys for tx with amount = 1000.00000000 and count indexes 3
2017-Dec-26 10:53:23.712412 INFO    [Blockchain] Failed to check ring signature for tx f5cb654d22194f1adf503681b07f29820ee397bcf6310ca428c7c3975de42151
2017-Dec-26 10:53:23.806012 INFO    [Blockchain] Wrong index in transaction inputs: 14631, expected maximum 14471
2017-Dec-26 10:53:23.806012 INFO    [Blockchain] Failed to get output keys for tx with amount = 80.00000000 and count indexes 3
2017-Dec-26 10:53:23.806012 INFO    [Blockchain] Failed to check ring signature for tx 8bdd7dd7da3766dd6e94ebac9c0d3ce631d58bce3b3493270fe2329b9d544933
2017-Dec-26 10:53:23.821612 INFO    [Blockchain] Wrong index in transaction inputs: 1767, expected maximum 1745
2017-Dec-26 10:53:23.821612 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000002 and count indexes 3
2017-Dec-26 10:53:23.821612 INFO    [Blockchain] Failed to check ring signature for tx 5484060a5323b02521492d4e33854acdc541ba34ed230e4a73f0c7db916f8092
2017-Dec-26 10:53:26.021216 INFO    [protocol] [191.13.21.119:51256 INC] Sync data returned unknown top block: 34000 -> 35689 [1689 blocks (2 days) behind] 
2017-Dec-26 10:53:26.021216 INFO    [protocol] SYNCHRONIZATION started
2017-Dec-26 10:53:27.660434 INFO    [protocol] [177.64.203.154:53161 INC] Sync data returned unknown top block: 34000 -> 34315 [315 blocks (0 days) behind] 
2017-Dec-26 10:53:27.660434 INFO    [protocol] SYNCHRONIZATION started
2017-Dec-26 10:53:28.144035 INFO    [Blockchain] Wrong index in transaction inputs: 1930, expected maximum 1902
2017-Dec-26 10:53:28.144035 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000009 and count indexes 3
2017-Dec-26 10:53:28.159635 INFO    [Blockchain] Failed to check ring signature for tx b527d70fa49665d8723a4b3afd936570444805b73f1527dda0c883c6b9337653
2017-Dec-26 10:53:28.190835 INFO    [Blockchain] Wrong index in transaction inputs: 29, expected maximum 28
2017-Dec-26 10:53:28.206435 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00000960 and count indexes 3
2017-Dec-26 10:53:28.206435 INFO    [Blockchain] Failed to check ring signature for tx 2b5e5d0d7e08ef79d9c3b265e9c0507850f687206e063c457a8fa971c83a9dd1
2017-Dec-26 10:53:28.222035 INFO    [Blockchain] Wrong index in transaction inputs: 28968, expected maximum 27314
2017-Dec-26 10:53:28.222035 INFO    [Blockchain] Failed to get output keys for tx with amount = 4.00000000 and count indexes 3
2017-Dec-26 10:53:28.222035 INFO    [Blockchain] Failed to check ring signature for tx d37b3fb895f73cf69d9eeb94a67cf3fa137cb5abb7ff3bb5c378bc9eb8e13b00
2017-Dec-26 10:53:28.237635 INFO    [Blockchain] Wrong index in transaction inputs: 32616, expected maximum 31369
2017-Dec-26 10:53:28.237635 INFO    [Blockchain] Failed to get output keys for tx with amount = 20.00000000 and count indexes 3
2017-Dec-26 10:53:28.237635 INFO    [Blockchain] Failed to check ring signature for tx 0359deb6ce93e759d0a3aa0ac2910491db500eb76bb5e1a44e851afe74aa90a1
2017-Dec-26 10:53:28.253235 INFO    [Blockchain] Wrong index in transaction inputs: 20748, expected maximum 19942
2017-Dec-26 10:53:28.253235 INFO    [Blockchain] Failed to get output keys for tx with amount = 8.00000000 and count indexes 3
2017-Dec-26 10:53:28.253235 INFO    [Blockchain] Failed to check ring signature for tx b4e6dc3ea7eb0da7390cc10c5e2b624a1427c1f145353b1b29b010c2735ec989
2017-Dec-26 10:53:28.268835 INFO    [Blockchain] Wrong index in transaction inputs: 28821, expected maximum 27314
2017-Dec-26 10:53:28.268835 INFO    [Blockchain] Failed to get output keys for tx with amount = 4.00000000 and count indexes 3
2017-Dec-26 10:53:28.284435 INFO    [Blockchain] Failed to check ring signature for tx e69f9d4d76f4e6b87523c9ccd2f1835efe9515ad42910b44ccb31928353ce950
2017-Dec-26 10:53:28.315635 INFO    [Blockchain] Wrong index in transaction inputs: 36935, expected maximum 35936
2017-Dec-26 10:53:28.315635 INFO    [Blockchain] Failed to get output keys for tx with amount = 100.00000000 and count indexes 3
2017-Dec-26 10:53:28.315635 INFO    [Blockchain] Failed to check ring signature for tx 32ffcef220ef2e55a880c876dff4d5916821df0191d28c9023b47f4f513992be
2017-Dec-26 10:53:28.331235 INFO    [Blockchain] Wrong index in transaction inputs: 5418, expected maximum 5378
2017-Dec-26 10:53:28.331235 INFO    [Blockchain] Failed to get output keys for tx with amount = 900.00000000 and count indexes 3
2017-Dec-26 10:53:28.346835 INFO    [Blockchain] Failed to check ring signature for tx 7e04c582594c688d64c690646aad81f3f52168524cd991b3f60c3f2d739195ce
2017-Dec-26 10:53:28.346835 INFO    [Blockchain] Wrong index in transaction inputs: 5380, expected maximum 5307
2017-Dec-26 10:53:28.346835 INFO    [Blockchain] Failed to get output keys for tx with amount = 0.00080000 and count indexes 3
2017-Dec-26 10:53:28.362435 INFO    [Blockchain] Failed to check ring signature for tx a0ea6c32cfa98d01aeb6978b8fc286bf461cdebbee891b97981b6f65f23b0e22
